amfi_code,Sortino_Ratio
148567,2.3856
120843,2.3643
148569,2.1469
119551,2.1403
120505,2.0294
149323,1.8751
118632,1.8501
100033,1.8291
120504,1.8053
101206,1.7996
119094,1.7038
119598,1.6753
148568,1.6327
149324,1.6198
119552,1.6098
102885,1.4357
120503,1.3379
125497,1.3307
118633,1.1545
118635,1.138
120506,1.0959
102887,1.0888
120507,1.0521
120841,0.8626
149322,0.7621
118634,0.746
125498,0.5088
101207,0.2766
119093,0.2211
120842,0.1247
119092,0.0526
119599,-0.0944
119095,-0.1282
120844,-0.1877
102886,-0.3472
100016,-0.351
119120,-0.3768
118636,-0.6135
100025,-0.9418
101208,-1.681
